Tube ID	PID	PCRed	Index	Notes	run_number	modified_sample_name	run_group
64.1	1S	5/4/15	1	Keshav Singh- Skin	M64	1S	M64Kes
64.3	2S	5/4/15	3		M65	2S	M64Kes
64.4	3S	5/4/15	4		M66	3S	M64Kes
64.5	4S	5/4/15	5		M67	4S	M64Kes
64.6	5S	5/4/15	6		M68	5S	M64Kes
64.7	6S	5/4/15	7		M69	6S	M64Kes
64.8	7S	5/4/15	8		M70	7S	M64Kes
64.9	8S	5/4/15	9		M71	8S	M64Kes
64.10	9S	5/4/15	10		M72	9S	M64Kes
64.11	10S	5/4/15	11		M73	10S	M64Kes
64.12	11S	5/4/15	12		M74	11S	M64Kes
64.13	12S	5/4/15	13		M75	12S	M64Kes
64.14	13S	5/4/15	14		M76	13S	M64Kes
64.15	14S	5/4/15	15		M77	14S	M64Kes
64.16	15S	5/4/15	16		M78	15S	M64Kes
64.17	16S	5/4/15	17		M79	16S	M64Kes
64.18	17S	5/4/15	18		M80	17S	M64Kes
64.19	18S	5/4/15	19		M81	18S	M64Kes
64.20	19S	5/4/15	20		M82	19S	M64Kes
64.21	20S	5/4/15	21		M83	20S	M64Kes
64.22	21S	5/4/15	22		M84	21S	M64Kes
64.23	22S	5/4/15	23		M85	22S	M64Kes
64.24	23S	5/4/15	24		M86	23S	M64Kes
64.25	24S	5/4/15	25		M87	24S	M64Kes
64.26	25S	5/5/15	26		M88	25S	M64Kes
64.27	26S	5/5/15	27		M89	26S	M64Kes
64.28	27S	5/5/15	28		M90	27S	M64Kes
64.29	28S	5/5/15	29		M91	28S	M64Kes
64.30	29S	5/5/15	30		M92	29S	M64Kes
64.31	30S	5/5/15	31		M93	30S	M64Kes
64.32	31S	5/5/15	32		M94	31S	M64Kes
64.33	32S	5/5/15	33		M95	32S	M64Kes
64.34	33S	5/5/15	34		M96	33S	M64Kes
64.35	34S	5/5/15	35		M97	34S	M64Kes
64.36	35S	5/5/15	36		M98	35S	M64Kes
64.37	36S	5/5/15	37		M99	36S	M64Kes
64.38	37S	5/5/15	38		M100	37S	M64Kes
64.39	-1	5/5/15	39	Daniel Silberger- Weaver lab- spleen	M101	N1	M64Dan
64.40	-2	5/5/15	40		M102	N2	M64Dan
64.41	-3	5/5/15	41		M103	N3	M64Dan
64.42	-4	5/5/15	42		M104	N4	M64Dan
64.43	+1	5/5/15	43		M105	P1	M64Dan
64.44	+2	5/5/15	44		M106	P2	M64Dan
64.45	+3	5/5/15	45		M107	P3	M64Dan
64.46	+4	5/5/15	46		M108	P4	M64Dan
64.47	+5	5/5/15	47		M109	P5	M64Dan
64.48	11.3.10	5/5/15	48	Bray Timed Feeding Dtudy	M110	11.3.10	M64Bray
64.49	12.3.10	5/5/15	49		M111	12.3.10	M64Bray
64.50	9.3.14	5/6/15	50		M112	9.3.14	M64Bray
64.51	10.3.14	5/6/15	51		M113	10.3.14	M64Bray
64.52	11.3.14	5/6/15	52		M114	11.3.14	M64Bray
64.53	12.3.14	5/6/15	53		M115	12.3.14	M64Bray
64.54	9.3.18	5/6/15	54		M116	9.3.18	M64Bray
64.55	10.3.18	5/6/15	55		M117	10.3.18	M64Bray
64.56	11.3.18	5/6/15	56		M118	11.3.18	M64Bray
64.57	12.3.18	5/6/15	57		M119	12.3.18	M64Bray
64.59	9.3.22	5/6/15	59		M120	9.3.22	M64Bray
64.60	10.3.22	5/6/15	60		M121	10.3.22	M64Bray
64.61	11.3.22	5/6/15	61		M122	11.3.22	M64Bray
64.62	12.3.22	5/6/15	62		M123	12.3.22	M64Bray
64.63	13.3.2	5/6/15	63		M124	13.3.2	M64Bray
64.64	14.3.2	5/6/15	64		M125	14.3.2	M64Bray
64.65	13.3.6	5/6/15	65		M126	13.3.6	M64Bray
64.66	14.3.6	5/6/15	66		M127	14.3.6	M64Bray
64.67	16.3.6	5/6/15	67		M128	16.3.6	M64Bray
64.68	13.3.10	5/6/15	68		M129	13.3.10	M64Bray
64.69	14.3.10	5/6/15	69		M130	14.3.10	M64Bray
64.70	16.3.10	5/6/15	70		M131	16.3.10	M64Bray
64.71	13.3.14	5/6/15	71		M132	13.3.14	M64Bray
64.72	14.3.14	5/6/15	72		M133	14.3.14	M64Bray
64.73	16.3.14	5/6/15	73		M134	16.3.14	M64Bray
64.74	13.3.18	5/6/15	74		M135	13.3.18	M64Bray
64.75	14.3.18	5/6/15	75		M136	14.3.18	M64Bray
64.76	16.3.18	5/6/15	76		M137	16.3.18	M64Bray
64.77	13.3.22	5/6/15	77		M138	13.3.22	M64Bray
64.78	14.3.22	5/6/15	78		M139	14.3.22	M64Bray
64.79	16.3.22	5/6/15	79		M140	16.3.22	M64Bray
64.80	17.3.2	5/6/15	80		M141	17.3.2	M64Bray
64.81	18.3.2	5/6/15	81		M142	18.3.2	M64Bray
64.82	19.3.2	5/6/15	82		M143	19.3.2	M64Bray
64.83	20.3.2	5/6/15	83		M144	20.3.2	M64Bray
64.84	17.3.6	5/6/15	84		M145	17.3.6	M64Bray
64.85	18.3.6	5/6/15	85		M146	18.3.6	M64Bray
64.86	19.3.6	5/6/15	86		M147	19.3.6	M64Bray
64.87	20.3.6	5/6/15	87		M148	20.3.6	M64Bray
64.88	17.3.10	5/6/15	88		M149	17.3.10	M64Bray
64.89	18.3.10	5/6/15	89		M150	18.3.10	M64Bray
64.90	19.3.10	5/6/15	90		M151	19.3.10	M64Bray
64.91	20.3.10	5/6/15	91		M152	20.3.10	M64Bray
64.92	17.3.18	5/6/15	92		M153	17.3.18	M64Bray
64.93	18.3.18	5/6/15	93		M154	18.3.18	M64Bray
64.94	19.3.18	5/6/15	94		M155	19.3.18	M64Bray
64.95	20.3.18	5/6/15	95		M156	20.3.18	M64Bray
64.96	17.3.14	5/6/15	96		M157	17.3.14	M64Bray
